# Cycle: 144, status: ACC
#     Step              Filename       index    vel
         0  001_5730_478_trajB.traj          12     -1
         1  001_5730_478_trajB.traj          11     -1
         2  001_5730_478_trajB.traj          10     -1
         3  001_5730_478_trajB.traj           9     -1
         4  001_5730_478_trajB.traj           8     -1
         5  001_5730_478_trajB.traj           7     -1
         6  001_5730_478_trajB.traj           6     -1
         7  001_5730_478_trajB.traj           5     -1
         8  001_5730_478_trajB.traj           4     -1
         9  001_5730_478_trajB.traj           3     -1
        10  001_5730_478_trajB.traj           2     -1
        11  001_5730_478_trajB.traj           1     -1
        12  001_5730_478_trajB.traj           0     -1
        13  001_5730_479_trajF.traj           1      1
        14  001_5730_479_trajF.traj           2      1
        15  001_5730_479_trajF.traj           3      1
        16  001_5730_479_trajF.traj           4      1
        17  001_5730_479_trajF.traj           5      1
        18  001_5730_479_trajF.traj           6      1
        19  001_5730_479_trajF.traj           7      1
        20  001_5730_479_trajF.traj           8      1
        21  001_5730_479_trajF.traj           9      1
        22  001_5730_479_trajF.traj          10      1
        23  001_5730_479_trajF.traj          11      1
        24  001_5730_479_trajF.traj          12      1
        25  001_5730_479_trajF.traj          13      1
        26  001_5730_479_trajF.traj          14      1
        27  001_5730_479_trajF.traj          15      1
        28  001_5730_479_trajF.traj          16      1
        29  001_5730_479_trajF.traj          17      1
        30  001_5730_479_trajF.traj          18      1
        31  001_5730_479_trajF.traj          19      1
        32  001_5730_479_trajF.traj          20      1
        33  001_5730_479_trajF.traj          21      1
        34  001_5730_479_trajF.traj          22      1
        35  001_5730_479_trajF.traj          23      1
        36  001_5730_479_trajF.traj          24      1
        37  001_5730_479_trajF.traj          25      1
        38  001_5730_479_trajF.traj          26      1
        39  001_5730_479_trajF.traj          27      1
        40  001_5730_479_trajF.traj          28      1
        41  001_5730_479_trajF.traj          29      1
        42  001_5730_479_trajF.traj          30      1
        43  001_5730_479_trajF.traj          31      1
        44  001_5730_479_trajF.traj          32      1
        45  001_5730_479_trajF.traj          33      1
        46  001_5730_479_trajF.traj          34      1
        47  001_5730_479_trajF.traj          35      1
        48  001_5730_479_trajF.traj          36      1
        49  001_5730_479_trajF.traj          37      1
        50  001_5730_479_trajF.traj          38      1
        51  001_5730_479_trajF.traj          39      1
        52  001_5730_479_trajF.traj          40      1
